cosine_count,cosine_tdidf,hamming_distance,label
1.0,1.0,0.0006746249785201953,unrelated
0.9035199070320565,0.8398580109733325,0.0013110636375015115,agree
1.0,1.0,0.0006109811126220636,unrelated
1.0,1.0,0.0003415554136533064,unrelated
0.9560731213204738,0.950414128468696,0.0014744162266400495,disagree
0.7805261067714039,0.55176043705441,0.0012686343935694238,agree
1.0,1.0,0.0028660954276125278,unrelated
1.0,1.0,0.0010819457202682376,unrelated
0.9346279549539387,0.9496370111280787,0.0010055730811904797,agree
0.904742065558432,0.9187927666198275,0.000765847852974184,unrelated
1.0,1.0,0.0014510801424774012,discuss
0.882420729749557,0.8521571978694724,0.001625040042598961,agree
1.0,1.0,0.000585523566262811,unrelated
0.9917638964815433,0.9962078624035374,0.0015295742437517635,unrelated
0.9299859957985995,0.9604035049439575,0.0008782853493942165,discuss
1.0,1.0,0.0008337346432655243,unrelated
0.9474293106097444,0.8948813243417894,0.002098126112441739,discuss
0.9296959098984003,0.9364925865917095,0.0006131025748186681,agree
1.0,1.0,0.0011349822751833473,unrelated
0.9731971866290551,0.9933992567951018,0.00026730423677215283,discuss
0.9877187312302731,0.9985036773838705,0.0009652652994549964,unrelated
0.9502832883988755,0.9330091970024501,0.0020175105489707726,discuss
0.9836422365062695,0.9973766985178943,0.001022544778763315,unrelated
0.993339546857973,0.9991122481064738,0.0013046992509116984,unrelated
0.9558632585247625,0.9735830582827836,0.0004985436162020311,agree
0.8403099541398639,0.8174223474238625,0.0007616049285809752,agree
1.0,1.0,0.0008888926603772384,unrelated
1.0,1.0,0.0009270789799161173,unrelated
1.0,1.0,0.0014892664620162802,unrelated
0.8888888888888888,0.898634129504572,0.0003564056490295371,discuss
1.0,1.0,0.0014829020754264669,unrelated
0.9534757894800765,0.9606604855928724,0.0011901402922950615,discuss
1.0,1.0,0.0015126025461789283,unrelated
1.0,1.0,0.0012898490155354677,unrelated
1.0,1.0,0.00128136316674905,unrelated
0.777282298406313,0.8310188994265173,0.00038822758197860295,discuss
0.8294837111102304,0.8326676369508859,0.0006661391297337777,agree
1.0,1.0,0.00036913442220916343,unrelated
1.0,1.0,0.0008400990298553375,unrelated
1.0,1.0,0.0019623525318590586,unrelated
1.0,1.0,0.0016441332023684003,unrelated
1.0,1.0,0.000640681583374525,unrelated
1.0,1.0,0.00017820282451476855,unrelated
0.9889501075978034,0.9963839096294314,0.0006385601211779207,unrelated
1.0,1.0,0.0007022039870760523,unrelated
0.9817334458549603,0.985059768362076,0.000990722845814249,unrelated
0.9465382040156917,0.952398859429154,0.0006809893651100084,agree
1.0,1.0,0.00048581484302240475,unrelated
1.0,1.0,0.0007531190797945576,unrelated
1.0,1.0,0.0016568619755480266,unrelated
0.9882344798666247,0.9984409881685813,0.0007700907773673928,unrelated
1.0,1.0,0.0009164716689330954,unrelated
1.0,1.0,0.00083161318106892,unrelated
0.9565114617964372,0.8548143884262415,0.0012113549142611054,disagree
0.9919027676468593,0.9944909439369282,0.0027175930738502206,unrelated
0.9390606313227391,0.8764454310035422,0.000810398559102876,agree
1.0,1.0,0.0022911791723327387,unrelated
1.0,1.0,0.0005261226247578882,unrelated
1.0,1.0,0.00026730423677215283,unrelated
1.0,1.0,0.0007785766261538102,unrelated
0.909340317217675,0.8264671268449542,0.0013874362765792694,disagree
0.9925538824731872,0.9980274421412783,0.0021596485161432667,unrelated
1.0,1.0,0.0013831933521860607,unrelated
1.0,1.0,0.0005834021040662066,unrelated
1.0,1.0,0.001243176847210171,unrelated
0.9771065726752185,0.990023883330509,0.0009292004421127218,unrelated
1.0,1.0,0.0010098160055836884,unrelated
0.8777291281091166,0.9248467516251404,0.0006385601211779207,discuss
0.9872015561961556,0.9971393356912108,0.0008910141225738428,unrelated
1.0,1.0,0.001084067182464842,unrelated
0.9822332736370325,0.9951735130491112,0.0003267051782770757,unrelated
1.0,1.0,0.0010692169470886113,unrelated
0.9449918031679625,0.9741149817319659,0.000990722845814249,agree
1.0,1.0,0.0007997912481198541,unrelated
1.0,1.0,0.0004603572966631521,unrelated
0.98741914406506,0.9976828281206517,0.00042217097712427313,unrelated
1.0,1.0,0.0016165541938125434,unrelated
0.9425093215175185,0.9336167630848002,0.001718384379249554,discuss
1.0,1.0,0.0012834846289456546,unrelated
0.9917011733711338,0.9991101191183159,0.001330156797270951,unrelated
0.9180518046842597,0.8993582003351058,0.00181809310248996,agree
1.0,1.0,0.0010267877031565236,unrelated
1.0,1.0,0.002885188587381967,unrelated
0.9895372529904276,0.9971288910082677,0.0009631438372583919,unrelated
1.0,1.0,0.0006109811126220636,unrelated
1.0,1.0,0.0008528278030349638,unrelated
0.9401186869043371,0.8917458934673068,0.002473624921240716,discuss
0.9690454395171397,0.9686106991807532,0.0014807806132298626,agree
0.9587788841085213,0.7901414710330552,0.010931894699102409,discuss
1.0,1.0,0.0010755813336784245,unrelated
0.9708207926978394,0.982076502467875,0.0005834021040662066,unrelated
1.0,1.0,0.0011901402922950615,unrelated
0.952035289045669,0.9707821599136137,0.00038398465758539415,discuss
1.0,1.0,0.0008613136518213813,unrelated
1.0,1.0,0.001084067182464842,unrelated
0.974632685528408,0.9924111969821686,0.0006640176675371734,unrelated
1.0,1.0,0.00040095635515822927,unrelated
0.9921757912197829,0.9969875552367652,0.001115889115413908,unrelated
0.9906402975589301,0.997385886995523,0.0032840234803435922,unrelated
1.0,1.0,0.0007573620041877664,unrelated
0.9910073978685829,0.994906450369096,0.0014913879242128844,unrelated
0.9612507870853936,0.9868886438813522,0.00027791154775517476,unrelated
1.0,1.0,0.0016123112694193347,unrelated
0.9944065079337882,0.9978586911082646,0.0032691732449673613,unrelated
0.9890341384173372,0.9984715541292262,0.0008804068115908208,unrelated
0.9316414072975336,0.9575254169375317,0.0007064469114692611,agree
